label,message
ham,"Priya, i watched that movie you recommended, it was great."
ham,Can you pick up milk on your way home?
spam,Congrats! You are pre-approved for a credit card with Rs.50000 limit. Apply: tinyurl.com/win-prize
ham,"I'm running late, start without me."
spam,You have been selected for a FREE cash reward!! Call 09876543210 now to claim your prize.
ham,What time does the movie start tonight?
ham,"Please call me when you're free, nothing urgent."
ham,"Anjali, do you want to grab coffee tomorrow?"
ham,"Priya, don't forget the meeting tomorrow at 6pm."
ham,"Sara, please send me the notes from today's class."
ham,"I left my charger at your place, can I pick it up?"
spam,"Get a loan of Rs.1,00,000 instantly with ZERO paperwork. Apply now: secure-verify.info"
ham,"Anjali, can you pick up milk on your way home?"
ham,Can you help me move some boxes this weekend?
ham,Congrats on the new job! So happy for you.
ham,Can you help me move some boxes this weekend?
ham,"The weather looks nice today, want to go for a walk?"
ham,"Sara, can you pick up milk on your way home?"
ham,"Rahul, happy birthday! Hope you have a great day."
ham,"I watched that movie you recommended, it was great."
ham,"Anjali, just checking in, how have you been?"
ham,"I finished the assignment, sending it to you now."
spam,You have been selected for a FREE iPhone 15!! Call 09876543210 now to claim your prize.
ham,"Ravi, great job on the presentation today!"
ham,"Rahul, are you coming to the party on Saturday?"
ham,"John, thanks for helping me yesterday, really appreciate it."
ham,"Just checking in, how have you been?"
ham,Can you send me your address again?
ham,Can you help me move some boxes this weekend?
ham,Please send me the notes from today's class.
ham,"John, i'll send the report by end of day."
ham,"Just checking in, how have you been?"
ham,"I reached home safely, thanks for dropping me."
ham,"Meera, i'll send the report by end of day."
ham,Mom said dinner will be ready by 10:30am.
ham,"Let's catch up this weekend, it's been a while."
ham,Can we reschedule our call to 5pm?
ham,I'll send the report by end of day.
ham,"Just checking in, how have you been?"
ham,Do you want to grab coffee tomorrow?
spam,Act now! Investment opportunity guaranteed to double your money in 39 days.
spam,Act now! Investment opportunity guaranteed to double your money in 13 days.
ham,"I finished the assignment, sending it to you now."
ham,What time does the movie start tonight?
spam,"Congrats! You are pre-approved for a credit card with Rs.1,00,000 limit. Apply: offer-link.co"
spam,You've been chosen to receive a free cash reward. Reply YES to claim your gift now.
ham,Do you want to grab coffee tomorrow?
ham,"Priya, i'll send the report by end of day."
ham,"Let's catch up this weekend, it's been a while."
ham,Mom said dinner will be ready by 5pm.
ham,Let me know once you land at the airport.
ham,"Aman, what time does the movie start tonight?"
ham,I'll send the report by end of day.
ham,"Priya, what time does the movie start tonight?"
ham,"Anjali, i watched that movie you recommended, it was great."
spam,Get a loan of Rs.50000 instantly with ZERO paperwork. Apply now: tinyurl.com/win-prize
ham,"I'll be there in 13 minutes, traffic is bad."
ham,What time does the movie start tonight?
ham,Great job on the presentation today!
ham,"Sara, can you send me your address again?"
ham,"John, hey, are we still meeting at noon today?"
ham,"I watched that movie you recommended, it was great."
ham,Congrats on the new job! So happy for you.
spam,Get a loan of Rs.50000 instantly with ZERO paperwork. Apply now: offer-link.co
ham,Let me know once you land at the airport.
ham,Don't forget the meeting tomorrow at noon.
ham,"I finished the assignment, sending it to you now."
ham,Are you coming to the party on Saturday?
ham,How was your exam? Hope it went well.
ham,What time does the movie start tonight?
ham,"Rahul, can you send me your address again?"
ham,Can you help me move some boxes this weekend?
spam,You have been selected for a FREE gift voucher!! Call 09876543210 now to claim your prize.
ham,See you at the gym at 9am?
ham,"Anjali, can you pick up milk on your way home?"
ham,Can you send me your address again?
ham,"Anjali, i left my charger at your place, can I pick it up?"
ham,Are you coming to the party on Saturday?
spam,You have been selected for a FREE gift voucher!! Call 09876543210 now to claim your prize.
spam,Your number has been randomly selected to win an iPhone! Claim at get-reward.net
ham,"John, i finished the assignment, sending it to you now."
ham,The project deadline got extended to next Monday.
ham,"Rahul, how was your exam? Hope it went well."
ham,Can you send me your address again?
ham,"John, the weather looks nice today, want to go for a walk?"
ham,"The weather looks nice today, want to go for a walk?"
spam,Earn Rs.2500 per day working from home! No investment needed. Join now: get-reward.net
ham,Can you pick up milk on your way home?
ham,"John, the weather looks nice today, want to go for a walk?"
ham,"John, the weather looks nice today, want to go for a walk?"
ham,"John, i finished the assignment, sending it to you now."
ham,"Meera, i finished the assignment, sending it to you now."
ham,"Meera, can we reschedule our call to 9am?"
spam,You have been selected for a FREE holiday package!! Call 09876543210 now to claim your prize.
ham,"Just checking in, how have you been?"
ham,"Please call me when you're free, nothing urgent."
ham,"John, i watched that movie you recommended, it was great."
ham,"Sara, mom said dinner will be ready by 9am."
ham,"Anjali, congrats on the new job! So happy for you."
ham,"Rahul, just checking in, how have you been?"
ham,Don't forget the meeting tomorrow at 6pm.
ham,How was your exam? Hope it went well.
ham,"Rahul, just checking in, how have you been?"
ham,"Hey, are we still meeting at 6pm today?"
ham,"I finished the assignment, sending it to you now."
ham,"Please call me when you're free, nothing urgent."
ham,"I reached home safely, thanks for dropping me."
ham,Please send me the notes from today's class.
ham,"Please call me when you're free, nothing urgent."
ham,See you at the gym at 6pm?
ham,"Please call me when you're free, nothing urgent."
ham,"I left my charger at your place, can I pick it up?"
spam,Your number has been randomly selected to win an iPhone! Claim at secure-verify.info
ham,"Hey, are we still meeting at 10:30am today?"
ham,What time does the movie start tonight?
ham,Do you want to grab coffee tomorrow?
ham,Can we reschedule our call to 7:15pm?
ham,"Aman, can we reschedule our call to 7:15pm?"
ham,"Sara, i'll send the report by end of day."
ham,"Rahul, what time does the movie start tonight?"
ham,Do you want to grab coffee tomorrow?
ham,Let me know once you land at the airport.
spam,Your parcel could not be delivered. Pay Rs.5000 customs fee here: secure-verify.info
ham,"Meera, can we reschedule our call to noon?"
spam,"Click here for a FREE gift voucher + free shipping, limited stock available: get-reward.net"
ham,"Meera, can you send me your address again?"
ham,Do you want to grab coffee tomorrow?
ham,"John, the weather looks nice today, want to go for a walk?"
ham,"Ravi, i'm running late, start without me."
ham,"Anjali, how was your exam? Hope it went well."
ham,Can we reschedule our call to 5pm?
ham,Congrats on the new job! So happy for you.
ham,"Just checking in, how have you been?"
ham,"I finished the assignment, sending it to you now."
spam,You have an unclaimed refund of Rs.2500. Claim it now before it expires: get-reward.net
ham,"Aman, great job on the presentation today!"
ham,Can you send me your address again?
ham,"I left my charger at your place, can I pick it up?"
spam,Get a loan of Rs.50000 instantly with ZERO paperwork. Apply now: tinyurl.com/win-prize
ham,Do you want to grab coffee tomorrow?
ham,"Sara, i finished the assignment, sending it to you now."
spam,WINNER!! As a valued customer you have won a gift voucher. Text WIN to 09876543210 to collect.
ham,"Meera, are you coming to the party on Saturday?"
ham,What time does the movie start tonight?
ham,"Ravi, i'll be there in 20 minutes, traffic is bad."
spam,"Click here for a FREE iPhone 15 + free shipping, limited stock available: offer-link.co"
ham,Are you coming to the party on Saturday?
ham,Congrats on the new job! So happy for you.
ham,"Anjali, see you at the gym at noon?"
ham,Great job on the presentation today!
ham,"Meera, are you coming to the party on Saturday?"
ham,"I reached home safely, thanks for dropping me."
ham,Please send me the notes from today's class.
ham,"John, don't forget the meeting tomorrow at noon."
ham,Let me know once you land at the airport.
spam,Limited time offer! Get 90% off on all products. Shop now: bit.ly/claim-now
ham,Can you send me your address again?
ham,Don't forget the meeting tomorrow at 5pm.
ham,See you at the gym at 10:30am?
ham,Can you send me your address again?
ham,"Ravi, i left my charger at your place, can I pick it up?"
ham,The project deadline got extended to next Wednesday.
ham,Please send me the notes from today's class.
ham,"Ravi, happy birthday! Hope you have a great day."
ham,"Anjali, hey, are we still meeting at 8am today?"
ham,Are you coming to the party on Saturday?
ham,"Ravi, the project deadline got extended to next Wednesday."
spam,Limited time offer! Get 90% off on all products. Shop now: get-reward.net
ham,"Aman, congrats on the new job! So happy for you."
ham,"Meera, i'm running late, start without me."
spam,Act now! Investment opportunity guaranteed to double your money in 32 days.
spam,"Click here for a FREE iPhone 15 + free shipping, limited stock available: secure-verify.info"
ham,"Hey, are we still meeting at noon today?"
spam,Congratulations! You have WON a cash reward worth Rs.10000. Click here to claim now: tinyurl.com/win-prize
ham,Please send me the notes from today's class.
ham,The project deadline got extended to next Friday.
ham,Can we reschedule our call to 5pm?
ham,"Aman, i finished the assignment, sending it to you now."
ham,"Ravi, great job on the presentation today!"
spam,Hot singles in your area want to chat with you now! Click tinyurl.com/win-prize
spam,You've been chosen to receive a free iPhone 15. Reply YES to claim your gift now.
ham,"Just checking in, how have you been?"
ham,Happy birthday! Hope you have a great day.
ham,"I'm running late, start without me."
ham,"Hey, are we still meeting at 9am today?"
spam,"Get a loan of Rs.1,00,000 instantly with ZERO paperwork. Apply now: tinyurl.com/win-prize"
spam,"Get a loan of Rs.1,00,000 instantly with ZERO paperwork. Apply now: tinyurl.com/win-prize"
ham,"The weather looks nice today, want to go for a walk?"
ham,Can we reschedule our call to 7:15pm?
ham,"Thanks for helping me yesterday, really appreciate it."
spam,FREE entry into our 5000 weekly prize draw just by texting WIN to 07777888999.
ham,"I'm running late, start without me."
ham,"Let's catch up this weekend, it's been a while."
ham,"Anjali, happy birthday! Hope you have a great day."
ham,See you at the gym at 9am?
ham,"Meera, congrats on the new job! So happy for you."
ham,"I watched that movie you recommended, it was great."
ham,"Anjali, i'll be there in 3 minutes, traffic is bad."
ham,Congrats on the new job! So happy for you.
ham,How was your exam? Hope it went well.
spam,Congratulations! You have WON a laptop worth Rs.50000. Click here to claim now: offer-link.co
ham,"Aman, i'm running late, start without me."
spam,Congrats! You are pre-approved for a credit card with Rs.2500 limit. Apply: offer-link.co
ham,"I watched that movie you recommended, it was great."
ham,Great job on the presentation today!
ham,Do you want to grab coffee tomorrow?
ham,Don't forget the meeting tomorrow at 6pm.
ham,Mom said dinner will be ready by 8am.
spam,Your number has been randomly selected to win an iPhone! Claim at bit.ly/claim-now
spam,WINNER!! As a valued customer you have won a cash reward. Text WIN to 09876543210 to collect.
ham,Don't forget the meeting tomorrow at 9am.
spam,Your mobile number has won 10000 in the lucky draw! Claim before it expires: bit.ly/claim-now
ham,Can you help me move some boxes this weekend?
ham,Please send me the notes from today's class.
ham,Congrats on the new job! So happy for you.
ham,"Thanks for helping me yesterday, really appreciate it."
ham,"Thanks for helping me yesterday, really appreciate it."
ham,"Just checking in, how have you been?"
ham,"Hey, are we still meeting at 6pm today?"
ham,"I left my charger at your place, can I pick it up?"
ham,"Let's catch up this weekend, it's been a while."
ham,Can we reschedule our call to 10:30am?
ham,"I'm running late, start without me."
ham,Happy birthday! Hope you have a great day.
ham,"The weather looks nice today, want to go for a walk?"
ham,How was your exam? Hope it went well.
ham,"I left my charger at your place, can I pick it up?"
ham,"Thanks for helping me yesterday, really appreciate it."
ham,Please send me the notes from today's class.
ham,"Aman, can you send me your address again?"
ham,"Rahul, just checking in, how have you been?"
ham,How was your exam? Hope it went well.
ham,Don't forget the meeting tomorrow at 10:30am.
ham,"Ravi, mom said dinner will be ready by 6pm."
ham,Can you send me your address again?
ham,Can you help me move some boxes this weekend?
ham,"I reached home safely, thanks for dropping me."
ham,How was your exam? Hope it went well.
spam,Congratulations! You have WON a cash reward worth Rs.50000. Click here to claim now: secure-verify.info
ham,"Priya, the project deadline got extended to next Friday."
ham,"I reached home safely, thanks for dropping me."
spam,"Click here for a FREE laptop + free shipping, limited stock available: get-reward.net"
ham,"Just checking in, how have you been?"
ham,The project deadline got extended to next Friday.
ham,"I'm running late, start without me."
ham,"Meera, i finished the assignment, sending it to you now."
spam,FINAL NOTICE: Your subscription payment failed. Update details at secure-verify.info immediately.
ham,Let me know once you land at the airport.
ham,I'll send the report by end of day.
spam,Your parcel could not be delivered. Pay Rs.50000 customs fee here: get-reward.net
spam,Earn Rs.50000 per day working from home! No investment needed. Join now: get-reward.net
ham,"Please call me when you're free, nothing urgent."
ham,"Please call me when you're free, nothing urgent."
ham,How was your exam? Hope it went well.
spam,Congrats! You are pre-approved for a credit card with Rs.50000 limit. Apply: get-reward.net
ham,"Ravi, can you send me your address again?"
ham,"Aman, the project deadline got extended to next Friday."
spam,"Click here for a FREE gift voucher + free shipping, limited stock available: secure-verify.info"
ham,See you at the gym at 6pm?
ham,Let me know once you land at the airport.
spam,Hot singles in your area want to chat with you now! Click secure-verify.info
ham,"Sara, i watched that movie you recommended, it was great."
ham,"I'll be there in 19 minutes, traffic is bad."
ham,"Anjali, can we reschedule our call to 9am?"
ham,"Please call me when you're free, nothing urgent."
ham,I'll send the report by end of day.
ham,Let me know once you land at the airport.
ham,"John, see you at the gym at 6pm?"
ham,"Sara, let's catch up this weekend, it's been a while."
ham,Do you want to grab coffee tomorrow?
ham,See you at the gym at 9am?
ham,Do you want to grab coffee tomorrow?
spam,Congrats! You are pre-approved for a credit card with Rs.2500 limit. Apply: get-reward.net
ham,"Anjali, i finished the assignment, sending it to you now."
spam,Get a loan of Rs.10000 instantly with ZERO paperwork. Apply now: secure-verify.info
ham,"Aman, i watched that movie you recommended, it was great."
ham,"Priya, i watched that movie you recommended, it was great."
ham,"I'll be there in 34 minutes, traffic is bad."
ham,"Meera, i watched that movie you recommended, it was great."
ham,"I reached home safely, thanks for dropping me."
spam,Cash prize of Rs.5000 is waiting for you! Click get-reward.net to claim instantly.
ham,"Thanks for helping me yesterday, really appreciate it."
spam,"Earn Rs.1,00,000 per day working from home! No investment needed. Join now: secure-verify.info"
ham,"I finished the assignment, sending it to you now."
spam,Cash prize of Rs.50000 is waiting for you! Click get-reward.net to claim instantly.
ham,"Thanks for helping me yesterday, really appreciate it."
ham,Let me know once you land at the airport.
ham,"Sara, i reached home safely, thanks for dropping me."
ham,"Ravi, can you send me your address again?"
ham,"I left my charger at your place, can I pick it up?"
ham,"I'm running late, start without me."
ham,Can you send me your address again?
ham,"I'm running late, start without me."
ham,"I reached home safely, thanks for dropping me."
ham,"I'm running late, start without me."
ham,Can we reschedule our call to noon?
ham,"Rahul, the project deadline got extended to next Friday."
ham,Can we reschedule our call to 8am?
ham,"Rahul, i finished the assignment, sending it to you now."
ham,Can we reschedule our call to 5pm?
ham,The project deadline got extended to next Monday.
ham,"I watched that movie you recommended, it was great."
ham,The project deadline got extended to next Monday.
ham,"Thanks for helping me yesterday, really appreciate it."
spam,Congratulations! You have WON a holiday package worth Rs.10000. Click here to claim now: secure-verify.info
ham,"Aman, the project deadline got extended to next Wednesday."
ham,"I left my charger at your place, can I pick it up?"
ham,"I finished the assignment, sending it to you now."
ham,"John, congrats on the new job! So happy for you."
ham,"Thanks for helping me yesterday, really appreciate it."
ham,"Just checking in, how have you been?"
ham,"The weather looks nice today, want to go for a walk?"
ham,"Hey, are we still meeting at 7:15pm today?"
ham,"The weather looks nice today, want to go for a walk?"
ham,"The weather looks nice today, want to go for a walk?"
ham,"Let's catch up this weekend, it's been a while."
spam,Earn Rs.50000 per day working from home! No investment needed. Join now: get-reward.net
ham,Don't forget the meeting tomorrow at 8am.
ham,"I finished the assignment, sending it to you now."
ham,"Aman, do you want to grab coffee tomorrow?"
ham,Happy birthday! Hope you have a great day.
ham,Can you send me your address again?
ham,Are you coming to the party on Saturday?
spam,Your mobile number has won 50000 in the lucky draw! Claim before it expires: offer-link.co
ham,"Sara, can you help me move some boxes this weekend?"
spam,"Click here for a FREE cash reward + free shipping, limited stock available: tinyurl.com/win-prize"
ham,Can you send me your address again?
ham,I'll send the report by end of day.
ham,The project deadline got extended to next Monday.
spam,Your number has been randomly selected to win an iPhone! Claim at secure-verify.info
ham,"Sara, hey, are we still meeting at 10:30am today?"
ham,Let me know once you land at the airport.
spam,Congratulations! You have WON a gift voucher worth Rs.2500. Click here to claim now: offer-link.co
ham,"The weather looks nice today, want to go for a walk?"
ham,"Let's catch up this weekend, it's been a while."
ham,Don't forget the meeting tomorrow at 9am.
ham,"I left my charger at your place, can I pick it up?"
spam,Your mobile number has won 50000 in the lucky draw! Claim before it expires: bit.ly/claim-now
ham,Do you want to grab coffee tomorrow?
ham,Can you send me your address again?
ham,Can you pick up milk on your way home?
ham,Please send me the notes from today's class.
ham,"Sara, congrats on the new job! So happy for you."
ham,"Priya, i watched that movie you recommended, it was great."
ham,"Sara, i finished the assignment, sending it to you now."
spam,Congrats! You are pre-approved for a credit card with Rs.5000 limit. Apply: secure-verify.info
ham,"Sara, can you send me your address again?"
ham,Can you pick up milk on your way home?
ham,Are you coming to the party on Saturday?
ham,"I reached home safely, thanks for dropping me."
spam,You've been chosen to receive a free holiday package. Reply YES to claim your gift now.
ham,Mom said dinner will be ready by 5pm.
ham,"Priya, can you send me your address again?"
ham,"The weather looks nice today, want to go for a walk?"
ham,"Hey, are we still meeting at 10:30am today?"
ham,The project deadline got extended to next Friday.
ham,Let me know once you land at the airport.
spam,Get a loan of Rs.2500 instantly with ZERO paperwork. Apply now: tinyurl.com/win-prize
ham,Please send me the notes from today's class.
ham,"The weather looks nice today, want to go for a walk?"
ham,"Rahul, the weather looks nice today, want to go for a walk?"
ham,"Thanks for helping me yesterday, really appreciate it."
ham,Don't forget the meeting tomorrow at 9am.
ham,Congrats on the new job! So happy for you.
spam,You've been chosen to receive a free iPhone 15. Reply YES to claim your gift now.
ham,"Let's catch up this weekend, it's been a while."
ham,"Aman, i left my charger at your place, can I pick it up?"
ham,The project deadline got extended to next Monday.
ham,"Thanks for helping me yesterday, really appreciate it."
ham,"The weather looks nice today, want to go for a walk?"
ham,Don't forget the meeting tomorrow at noon.
ham,"Meera, i left my charger at your place, can I pick it up?"
ham,"I'm running late, start without me."
spam,FINAL NOTICE: Your subscription payment failed. Update details at get-reward.net immediately.
ham,Don't forget the meeting tomorrow at 6pm.
ham,"I'll be there in 45 minutes, traffic is bad."
ham,Don't forget the meeting tomorrow at 8am.
spam,Cash prize of Rs.10000 is waiting for you! Click get-reward.net to claim instantly.
ham,"Let's catch up this weekend, it's been a while."
ham,"John, don't forget the meeting tomorrow at 5pm."
ham,Please send me the notes from today's class.
ham,I'll send the report by end of day.
ham,"Sara, the project deadline got extended to next Friday."
ham,"Hey, are we still meeting at 7:15pm today?"
ham,Do you want to grab coffee tomorrow?
ham,"Priya, don't forget the meeting tomorrow at 7:15pm."
ham,"Rahul, are you coming to the party on Saturday?"
ham,Congrats on the new job! So happy for you.
ham,"I'll be there in 23 minutes, traffic is bad."
spam,FINAL NOTICE: Your subscription payment failed. Update details at get-reward.net immediately.
ham,"I'll be there in 33 minutes, traffic is bad."
ham,Happy birthday! Hope you have a great day.
ham,"Aman, thanks for helping me yesterday, really appreciate it."
ham,Don't forget the meeting tomorrow at noon.
ham,"Sara, congrats on the new job! So happy for you."
ham,"Let's catch up this weekend, it's been a while."
ham,"I left my charger at your place, can I pick it up?"
ham,"Hey, are we still meeting at 8am today?"
ham,Do you want to grab coffee tomorrow?
ham,"I left my charger at your place, can I pick it up?"
ham,Let me know once you land at the airport.
spam,Act now! Investment opportunity guaranteed to double your money in 24 days.
ham,"I left my charger at your place, can I pick it up?"
ham,"The weather looks nice today, want to go for a walk?"
ham,Mom said dinner will be ready by noon.
spam,You've been chosen to receive a free gift voucher. Reply YES to claim your gift now.
ham,"Hey, are we still meeting at 6pm today?"
ham,Can you help me move some boxes this weekend?
ham,"I'm running late, start without me."
ham,"Anjali, the project deadline got extended to next Friday."
ham,"I reached home safely, thanks for dropping me."
ham,Great job on the presentation today!
spam,Hot singles in your area want to chat with you now! Click tinyurl.com/win-prize
ham,"Ravi, don't forget the meeting tomorrow at 6pm."
ham,The project deadline got extended to next Monday.
spam,FINAL NOTICE: Your subscription payment failed. Update details at bit.ly/claim-now immediately.
ham,Can we reschedule our call to 7:15pm?
ham,Do you want to grab coffee tomorrow?
ham,"Thanks for helping me yesterday, really appreciate it."
ham,"Thanks for helping me yesterday, really appreciate it."
ham,"Rahul, don't forget the meeting tomorrow at noon."
ham,"Priya, i left my charger at your place, can I pick it up?"
spam,You have an unclaimed refund of Rs.10000. Claim it now before it expires: offer-link.co
ham,See you at the gym at 9am?
spam,"Your mobile number has won 1,00,000 in the lucky draw! Claim before it expires: bit.ly/claim-now"
spam,You have an unclaimed refund of Rs.50000. Claim it now before it expires: tinyurl.com/win-prize
ham,Mom said dinner will be ready by 6pm.
spam,"Your mobile number has won 1,00,000 in the lucky draw! Claim before it expires: tinyurl.com/win-prize"
ham,"Rahul, what time does the movie start tonight?"
spam,Your mobile number has won 2500 in the lucky draw! Claim before it expires: tinyurl.com/win-prize
ham,"Priya, i reached home safely, thanks for dropping me."
ham,"Aman, let me know once you land at the airport."
ham,Are you coming to the party on Saturday?
ham,"I watched that movie you recommended, it was great."
ham,"Meera, please send me the notes from today's class."
ham,"Ravi, happy birthday! Hope you have a great day."
ham,Mom said dinner will be ready by 10:30am.
ham,"Thanks for helping me yesterday, really appreciate it."
ham,"I finished the assignment, sending it to you now."
spam,"Earn Rs.1,00,000 per day working from home! No investment needed. Join now: get-reward.net"
ham,"I watched that movie you recommended, it was great."
ham,"Aman, the weather looks nice today, want to go for a walk?"
ham,Can we reschedule our call to 9am?
